timestamp,open,high,low,close,volume
1749312000000,0.6658,0.6669,0.6616,0.6638,4813465.0
1749326400000,0.6638,0.6695,0.6637,0.664,3248596.0
1749340800000,0.664,0.6645,0.6552,0.6579,4851003.0
1749355200000,0.6579,0.6659,0.6557,0.6622,4225760.0
1749369600000,0.6622,0.6651,0.6516,0.6639,8626376.0
1749384000000,0.6639,0.6792,0.6627,0.6695,17379010.0
1749398400000,0.6695,0.6775,0.6695,0.6742,5034579.0
1749412800000,0.6742,0.6788,0.6671,0.6699,6585228.0
1749427200000,0.6699,0.6716,0.6602,0.6634,7778978.0
1749441600000,0.6634,0.6636,0.6561,0.6623,8356899.0
1749456000000,0.6623,0.6774,0.66,0.6753,9754320.0
1749470400000,0.6753,0.6759,0.6651,0.6737,9735718.0
1749484800000,0.6737,0.6862,0.6736,0.6809,6433829.0
1749499200000,0.6809,0.7077,0.6809,0.7046,10757680.0
1749513600000,0.7046,0.7156,0.7044,0.7057,8781432.0
1749528000000,0.7057,0.7068,0.693,0.6963,8089628.0
1749542400000,0.6963,0.7074,0.6858,0.7048,12999334.0
1749556800000,0.7048,0.7125,0.6876,0.6957,19521975.0
1749571200000,0.6957,0.7154,0.6952,0.7093,12438006.0
1749585600000,0.7093,0.7207,0.7035,0.7167,8532876.0
1749600000000,0.7167,0.722,0.7092,0.7202,5290408.0
1749614400000,0.7202,0.7277,0.7174,0.7235,8648376.0
1749628800000,0.7235,0.7288,0.7112,0.7146,11512405.9264
1749643200000,0.7146,0.7314,0.7108,0.7257,19159343.9361
1749657600000,0.7257,0.7263,0.7019,0.7041,15777698.9751
1749672000000,0.7041,0.7099,0.6905,0.6979,16637317.4514
1749686400000,0.6979,0.7002,0.6884,0.6904,8488958.2372
1749700800000,0.6904,0.6943,0.6852,0.687,12906051.8498
1749715200000,0.687,0.6888,0.6751,0.6771,17257133.85
1749729600000,0.6771,0.69,0.676,0.6772,25306470.0522
1749744000000,0.6772,0.6881,0.6659,0.6682,26302467.0055
