feature,importance
volatility_norm,195275.91365981102
atr_14,80801.32643258572
atr_21,6917.583909988403
mtf_volatility_ratio,6732.784058332443
atr_ratio,5087.095024466515
vwap,3931.027564406395
adx,3385.0415736436844
obv,3088.93512737751
bb_width,2931.90562748909
consolidation,2840.9981872439384
macd_signal,2564.76196873188
dist_to_resistance,2383.4600088596344
dist_to_support,1938.7285355329514
volume_trend,1857.732611566782
swing_high_count,1825.454553604126
macd_histogram,1801.8623595237732
bb_upper,1580.5389984846115
htf_volume_trend,1554.6467304229736
ema_100,1549.3163101673126
minus_di,1517.961579799652
stoch_d,1495.050255060196
swing_low_count,1487.2095546722412
ema_200,1426.0070357322693
breakout_probability,1309.2602833509445
trend_quality,1292.7553079128265
bb_lower,1264.3989579677582
ema_20,1249.423439502716
ema_50,1214.1945135593414
bb_position,1213.5537872314453
rsi_21,1141.0665949583054
bb_middle,1130.0820380449295
ema_5,1085.128336429596
pct_change_10,1041.8745330572128
volume_ma_ratio,940.3476754426956
plus_di,934.419459939003
price_vs_ema_20,900.7314655780792
macd,891.2146446704865
rsi_14,846.9135411977768
price_vs_ema_50,840.6969549655914
cci_20,823.8602963685989
rsi_7,763.9156085252762
ema_10,749.7006387710571
cci_14,666.2243458032608
williams_r,616.5711507797241
pct_change_5,613.2603278160095
pct_change_1,593.8808388710022
htf_bb_position,580.6617490053177
lower_wick_ratio,565.9773930311203
stoch_k,489.5879409313202
body_ratio,487.6212564110756
trend_strength,483.9267117381096
upper_wick_ratio,439.7523835301399
mtf_rsi_diff,420.7182779312134
volume_delta,407.62299704551697
structural_bias,301.44967114925385
consecutive_down,284.5810207128525
lower_low,179.56424045562744
consecutive_up,179.1907868385315
momentum_10,165.5874307155609
near_key_level,119.05238139629364
price_position_ema,104.66408038139343
higher_high,65.80210995674133
mtf_score,47.64444017410278
mtf_momentum_agreement,26.49650001525879
ema_cross_10_50,3.876430034637451
htf_macd,0.0
htf_rsi,0.0
ema_cross_5_20,0.0
htf_macd_direction,0.0
htf_ema_20,0.0
htf_ema_50,0.0
htf_ema_trend,0.0
mtf_trend_aligned,0.0
htf_volume_ma,0.0
htf_atr,0.0
htf_adx,0.0
htf_bb_middle,0.0
htf_bb_lower,0.0
htf_bb_upper,0.0
htf_macd_hist,0.0
htf_macd_signal,0.0
