feature,importance
obv,4.814901674166322
volatility_norm,3.3781434148550034
vwap,1.8169719522920786
ema_5,1.7736679449444637
ema_10,1.5339018693193793
williams_r,1.395362090319395
bb_width,1.3628055951048736
atr_14,1.173696245852625
atr_ratio,1.046917200088501
upper_wick_ratio,0.8738345876336098
trend_quality,0.6667796343099326
volume_ma_ratio,0.5664090029895306
dist_to_support,0.562609153046651
stoch_k,0.5579859986901283
atr_21,0.5347888391697779
macd_signal,0.5342232882976532
macd,0.4903395101428032
rsi_14,0.46661289036273956
bb_middle,0.4206480085849762
price_vs_ema_20,0.3850235012359917
htf_volume_trend,0.3740049935877323
pct_change_5,0.3463734363904223
pct_change_10,0.33980640582740307
body_ratio,0.328682005405426
volume_delta,0.31063258461654186
adx,0.30491586530115455
pct_change_1,0.28849339950829744
plus_di,0.25597325223498046
ema_50,0.25179489329457283
dist_to_resistance,0.2485319869028899
structural_bias,0.21355199813842773
stoch_d,0.18876099959015846
breakout_probability,0.18407699465751648
volume_trend,0.17883240431547165
ema_20,0.16693399846553802
minus_di,0.1648721033707261
price_position_ema,0.1618420034646988
ema_200,0.15902069211006165
cci_14,0.14726150035858154
bb_upper,0.13803300261497498
momentum_10,0.1278706006705761
bb_lower,0.1118210032582283
cci_20,0.10004270076751709
consolidation,0.08399885101243854
swing_high_count,0.06428340077400208
rsi_7,0.060307200998067856
price_vs_ema_50,0.05399090051651001
lower_wick_ratio,0.052855408284813166
rsi_21,0.04727146388904657
htf_bb_position,0.045709799975156784
ema_100,0.037188999354839325
macd_histogram,0.0016361300367861986
trend_strength,0.0
htf_bb_middle,0.0
htf_adx,0.0
htf_atr,0.0
htf_volume_ma,0.0
htf_ema_trend,0.0
mtf_trend_aligned,0.0
htf_bb_upper,0.0
mtf_rsi_diff,0.0
mtf_momentum_agreement,0.0
htf_macd_direction,0.0
mtf_volatility_ratio,0.0
htf_bb_lower,0.0
htf_macd_signal,0.0
htf_macd_hist,0.0
bb_position,0.0
htf_macd,0.0
htf_rsi,0.0
htf_ema_50,0.0
htf_ema_20,0.0
near_key_level,0.0
higher_high,0.0
lower_low,0.0
consecutive_up,0.0
swing_low_count,0.0
consecutive_down,0.0
ema_cross_5_20,0.0
ema_cross_10_50,0.0
mtf_score,0.0
