feature,importance
obv,70.87846899032593
ema_200,59.832380294799805
macd_histogram,51.752570152282715
dist_to_support,49.632570028305054
ema_5,47.85693180561066
stoch_k,44.552680015563965
breakout_probability,39.235820293426514
htf_volume_trend,36.44969034194946
cci_20,34.39239001274109
consolidation,33.043860912323
atr_ratio,31.8302903175354
atr_21,31.68767023086548
ema_10,30.125230073928833
adx,29.662059903144836
ema_100,29.47094964981079
macd,29.21908926963806
rsi_14,28.021349906921387
vwap,27.443509578704834
cci_14,26.117350578308105
trend_quality,22.574549674987793
price_vs_ema_20,21.446940422058105
volume_ma_ratio,21.22733974456787
plus_di,19.955130100250244
rsi_7,19.350059986114502
volatility_norm,17.73111057281494
pct_change_1,17.145899772644043
bb_width,17.043779373168945
ema_50,15.135250091552734
minus_di,14.460377097129822
lower_low,13.62969982624054
atr_14,12.653250455856323
dist_to_resistance,12.319299697875977
lower_wick_ratio,11.525269985198975
upper_wick_ratio,10.16838026046753
volume_trend,8.906789779663086
volume_delta,7.422850131988525
structural_bias,6.8943400382995605
mtf_score,6.509570121765137
price_vs_ema_50,6.308259963989258
consecutive_down,5.993080139160156
bb_upper,5.160950183868408
momentum_10,4.311950206756592
near_key_level,4.2314300537109375
bb_position,4.170889854431152
swing_low_count,4.150730133056641
stoch_d,4.139359951019287
rsi_21,3.8100600242614746
mtf_rsi_diff,3.584346890449524
pct_change_10,2.407680034637451
htf_bb_lower,0.0
htf_bb_middle,0.0
htf_adx,0.0
htf_atr,0.0
htf_volume_ma,0.0
mtf_trend_aligned,0.0
ema_cross_10_50,0.0
htf_ema_trend,0.0
htf_macd_hist,0.0
mtf_momentum_agreement,0.0
htf_bb_position,0.0
htf_macd_direction,0.0
ema_20,0.0
mtf_volatility_ratio,0.0
htf_bb_upper,0.0
htf_rsi,0.0
htf_macd_signal,0.0
htf_macd,0.0
ema_cross_5_20,0.0
htf_ema_50,0.0
htf_ema_20,0.0
macd_signal,0.0
higher_high,0.0
pct_change_5,0.0
price_position_ema,0.0
swing_high_count,0.0
bb_middle,0.0
bb_lower,0.0
trend_strength,0.0
body_ratio,0.0
williams_r,0.0
consecutive_up,0.0
