feature,importance
volatility_norm,105534.00356783795
atr_14,24536.441803504935
atr_21,1381.9847386756112
ema_5,523.7391230893826
bb_upper,242.1223633112794
bb_middle,198.24475954635747
ema_10,182.2071497190141
bb_lower,170.23775441026586
ema_200,156.46294761730417
ema_50,146.44568110855724
ema_100,124.68355732836235
atr_ratio,120.9489772071821
ema_20,92.85216526552597
bb_width,89.84890141647088
adx,31.92313708692417
rsi_21,30.544329110286093
obv,28.682539435320084
breakout_probability,28.405611195139663
volume_trend,25.447742522728756
pct_change_1,22.187115017608136
volume_delta,21.804290646379652
volume_ma_ratio,21.587894629015917
lower_wick_ratio,19.851095997430882
trend_quality,19.61612634854782
upper_wick_ratio,18.513233777650456
swing_high_count,17.71195283323953
pct_change_10,16.58019744944952
macd,13.88923322503176
price_vs_ema_50,11.00821039821002
vwap,10.594769047404231
htf_bb_position,10.29097232421049
macd_signal,10.149741581639168
minus_di,8.774785558051951
rsi_14,8.35642141007397
consolidation,7.881617049846238
mtf_rsi_diff,7.756567527520837
trend_strength,7.076511762184138
body_ratio,6.941263099227917
htf_volume_trend,6.366726463972546
dist_to_resistance,6.364058150189167
rsi_7,6.22906095503795
dist_to_support,5.04642405570153
stoch_k,4.760344428400859
price_vs_ema_20,4.027368417130139
williams_r,3.870909161487262
macd_histogram,3.842152284550542
mtf_score,3.7095431354041537
plus_di,3.103141819202936
cci_14,2.9891979441497885
pct_change_5,2.464100508563657
swing_low_count,2.245025055391645
bb_position,1.9843676191766164
momentum_10,1.6765061956594955
cci_20,1.1132889433445834
lower_low,1.072766232881463
price_position_ema,0.7228976250103187
near_key_level,0.4375409935760593
consecutive_up,0.40806614005123265
stoch_d,0.3022049251673884
consecutive_down,0.292744099162519
higher_high,0.2603137570225016
structural_bias,0.24086436257679367
ema_cross_10_50,0.01640186971053481
ema_cross_5_20,5.634209969684889e-07
mtf_volatility_ratio,0.0
htf_volume_ma,0.0
htf_macd_direction,0.0
mtf_momentum_agreement,0.0
htf_ema_trend,0.0
mtf_trend_aligned,0.0
htf_bb_lower,0.0
htf_atr,0.0
htf_adx,0.0
htf_bb_middle,0.0
htf_bb_upper,0.0
htf_macd_hist,0.0
htf_macd,0.0
htf_rsi,0.0
htf_ema_50,0.0
htf_ema_20,0.0
htf_macd_signal,0.0
